Date,Meal,Dish Name,Quantity (kg)
01/10/2024,Breakfast,Upma,25.84
01/10/2024,Breakfast,Aloo Paratha,16.35
01/10/2024,Breakfast,Dosa,29.51
01/10/2024,Lunch,Rice,269.5
01/10/2024,Lunch,Palak Paneer,63.47
01/10/2024,Lunch,Rasam,61.91
01/10/2024,Dinner,Roti,302.77
01/10/2024,Dinner,Paneer Tikka,79.67
01/10/2024,Dinner,Dal Makhani,85.24
02/10/2024,Breakfast,Dosa,29.51
02/10/2024,Breakfast,Chole Bhature,24.04
02/10/2024,Breakfast,Aloo Paratha,16.35
02/10/2024,Lunch,Rice,269.5
02/10/2024,Lunch,Chole,62.12
02/10/2024,Lunch,Palak Paneer,63.47
02/10/2024,Dinner,Roti,302.77
02/10/2024,Dinner,Bhindi Fry,84.86
02/10/2024,Dinner,Chana Masala,83.45
03/10/2024,Breakfast,Samosa,16.07
03/10/2024,Breakfast,Aloo Paratha,12.26
03/10/2024,Breakfast,Medu Vada,10.94
03/10/2024,Lunch,Rice,202.12
03/10/2024,Lunch,Palak Paneer,47.6
03/10/2024,Lunch,Chole,46.59
03/10/2024,Dinner,Roti,227.08
03/10/2024,Dinner,Chana Masala,62.59
03/10/2024,Dinner,Bhindi Fry,63.64
04/10/2024,Breakfast,Samosa,16.07
04/10/2024,Breakfast,Medu Vada,10.94
04/10/2024,Breakfast,Aloo Paratha,12.26
04/10/2024,Lunch,Rice,202.12
04/10/2024,Lunch,Rajma,47.82
04/10/2024,Lunch,Sambar,47.63
04/10/2024,Dinner,Roti,227.08
04/10/2024,Dinner,Shahi Paneer,58.97
04/10/2024,Dinner,Dal Makhani,63.93
05/10/2024,Breakfast,Idli,23.53
05/10/2024,Breakfast,Medu Vada,10.94
05/10/2024,Breakfast,Aloo Paratha,12.26
05/10/2024,Lunch,Rice,202.12
05/10/2024,Lunch,Sambar,47.63
05/10/2024,Lunch,Rajma,47.82
05/10/2024,Dinner,Roti,227.08
05/10/2024,Dinner,Paneer Tikka,59.75
05/10/2024,Dinner,Chana Masala,62.59
06/10/2024,Breakfast,Dosa,22.13
06/10/2024,Breakfast,Medu Vada,10.94
06/10/2024,Breakfast,Poha,16.4
06/10/2024,Lunch,Rice,202.12
06/10/2024,Lunch,Rajma,47.82
06/10/2024,Lunch,Palak Paneer,47.6
06/10/2024,Dinner,Roti,227.08
06/10/2024,Dinner,Shahi Paneer,58.97
06/10/2024,Dinner,Aloo Gobi,67.66
07/10/2024,Breakfast,Idli,23.53
07/10/2024,Breakfast,Medu Vada,10.94
07/10/2024,Breakfast,Chole Bhature,18.03
07/10/2024,Lunch,Rice,202.12
07/10/2024,Lunch,Sambar,47.63
07/10/2024,Lunch,Chole,46.59
07/10/2024,Dinner,Roti,227.08
07/10/2024,Dinner,Paneer Butter Masala,53.87
07/10/2024,Dinner,Bhindi Fry,63.64
