Month,Meal,Most Consumed Dishes (kg),Least Consumed Dishes (kg)
Aug2023,Breakfast,Chutney: 112; Curd: 106; Medu Vada: 105,Sambhar: 34; Dosa: 36; Coconut Chutney: 37
Aug2023,Lunch,Rice: 627; Dal Tadka: 193; Chana Masala: 183,Dal: 58; Paneer Curry: 62; Aloo Gobi: 100
Aug2023,Dinner,Chapati: 368; Roti: 243; Palak Paneer: 222,Bhindi Fry: 86; Kadhi: 99; Shahi Paneer: 113
Sep2023,Breakfast,Medu Vada: 116; Sambar: 111; Idli: 111,Upma: 30; Aloo Bhaji: 44; Puri: 44
Sep2023,Lunch,Rice: 663; Chana Masala: 233; Mixed Veg: 230,Rajma: 77; Aloo Gobi: 79; Paneer Curry: 89
Sep2023,Dinner,Chapati: 431; Palak Paneer: 315; Roti: 173,Kadhi: 61; Bhindi Fry: 75; Matar Mushroom: 77
Oct2023,Breakfast,Idli: 104; Medu Vada: 100; Puri: 95,Sambhar: 34; Coconut Chutney: 38; Aloo Paratha: 73
Oct2023,Lunch,Rice: 693; Paneer Masala: 196; Chole: 190,Dal Tadka: 92; Paneer Bhurji: 109; Paneer Curry: 117
Oct2023,Dinner,Chapati: 403; Palak Paneer: 255; Roti: 228,Kadhi: 53; Bhindi Fry: 60; Mixed Veg: 98
Nov2023,Breakfast,Idli: 129; Upma: 110; Sambar: 97,Sambhar: 31; Coconut Chutney: 42; Chutney: 53
Nov2023,Lunch,Rice: 686; Chole: 232; Paneer Masala: 211,Paneer Bhurji: 87; Chana Masala: 89; Mixed Veg: 95
Nov2023,Dinner,Chapati: 361; Roti: 266; Palak Paneer: 213,Mixed Veg: 86; Chole: 106; Vegetable Curry: 109
Dec2023,Breakfast,Idli: 131; Sambhar: 101; Pongal: 93,Chutney: 50; Aloo Paratha: 52; Curd: 54
Dec2023,Lunch,Rice: 694; Paneer Curry: 220; Mixed Veg: 205,Paneer Bhurji: 79; Dal Tadka: 82; Aloo Gobi: 86
Dec2023,Dinner,Chapati: 376; Roti: 227; Palak Paneer: 211,Bhindi Fry: 91; Mixed Veg: 97; Kadhi: 104
Jan2024,Breakfast,Idli: 155; Puri: 109; Coconut Chutney: 109,Upma: 42; Sambar: 51; Pongal: 53
Jan2024,Lunch,Rice: 641; Chole: 281; Paneer Masala: 245,Rajma: 62; Paneer Curry: 81; Aloo Gobi: 88
Jan2024,Dinner,Chapati: 441; Palak Paneer: 269; Roti: 169,Bhindi Fry: 69; Kadhi: 87; Chole: 93
Feb2024,Breakfast,Idli: 175; Coconut Chutney: 158; Sambhar: 151,Sambar: 34; Dosa: 38; Medu Vada: 47
Feb2024,Lunch,Rice: 631; Dal Tadka: 197; Mixed Veg: 163,Paneer Curry: 86; Dal: 90; Chana Masala: 117
Feb2024,Dinner,Chapati: 345; Roti: 241; Palak Paneer: 179,Mixed Veg: 61; Kadhi: 92; Bhindi Fry: 95
Mar2024,Breakfast,Idli: 142; Dosa: 105; Upma: 97,Coconut Chutney: 34; Sambhar: 41; Curd: 70
Mar2024,Lunch,Rice: 728; Paneer Masala: 259; Chole: 234,Aloo Gobi: 81; Dal Tadka: 81; Rajma: 89
Mar2024,Dinner,Chapati: 379; Roti: 253; Palak Paneer: 232,Kadhi: 100; Shahi Paneer: 108; Mixed Veg: 109
Apr2024,Breakfast,Idli: 143; Pongal: 122; Medu Vada: 113,Coconut Chutney: 37; Sambhar: 41; Puri: 59
Apr2024,Lunch,Rice: 644; Dal: 181; Paneer Curry: 171,Chole: 79; Aloo Gobi: 99; Chana Masala: 106
Apr2024,Dinner,Chapati: 375; Palak Paneer: 360; Mixed Veg: 216,Kadhi: 40; Bhindi Fry: 47; Shahi Paneer: 61
May2024,Breakfast,Jalebi: 130; Idli: 119; Aloo Bhaji: 112,Dosa: 41; Sambar: 53; Aloo Paratha: 56
May2024,Lunch,Rice: 749; Chole: 230; Paneer Masala: 211,Dal: 92; Paneer Bhurji: 97; Paneer Curry: 100
May2024,Dinner,Chapati: 299; Roti: 267; Kadhi: 220,Paneer Butter Masala: 68; Mixed Veg: 89; Chole: 116
Jun2024,Breakfast,Pongal: 147; Medu Vada: 135; Sambar: 133,Dosa: 28; Upma: 29; Coconut Chutney: 29
Jun2024,Lunch,Rice: 698; Paneer Masala: 181; Dal: 163,Chana Masala: 43; Mixed Veg: 76; Aloo Gobi: 112
Jun2024,Dinner,Chapati: 397; Palak Paneer: 282; Roti: 183,Kadhi: 63; Bhindi Fry: 68; Matar Mushroom: 70
Jul2024,Breakfast,Curd: 124; Chutney: 121; Idli: 104,Sambhar: 18; Coconut Chutney: 35; Aloo Bhaji: 63
Jul2024,Lunch,Rice: 626; Mixed Veg: 210; Chana Masala: 204,Paneer Masala: 91; Chole: 91; Paneer Bhurji: 97
Jul2024,Dinner,Roti: 367; Chapati: 274; Kadhi: 233,Matar Mushroom: 87; Shahi Paneer: 93; Paneer Butter Masala: 103
Aug2024,Breakfast,Sambar: 120; Medu Vada: 102; Idli: 100,Dosa: 43; Aloo Bhaji: 46; Jalebi: 54
Aug2024,Lunch,Rice: 742; Rajma: 240; Aloo Gobi: 215,Chana Masala: 90; Chole: 99; Paneer Masala: 104
Aug2024,Dinner,Chapati: 416; Palak Paneer: 295; Mixed Veg: 193,Chole: 49; Vegetable Curry: 62; Bhindi Fry: 115
